rq,metric,test,statistic,p_value,effect_size,n,decision
RQ1,branch_coverage,one-sample Wilcoxon,42.0,1.0,0.0,120,fail to reject H0
RQ2,mutation_score,paired Wilcoxon,3.0,0.9996133709778631,-0.9558823529411765,54,fail to reject H0
RQ3,cc_vs_branch+mutation,Spearman,,0.25499468469977316,"rho_cov=0.04260059371633829, rho_mut=0.1060776868939591",120,fail to reject H0
