function_id,language,test_source,model,system_fingerprint,test_path,gen_status,prompt_chars,in_tokens,out_tokens,cost_usd,timestamp
CJ-001,java,clean_v4,gpt-4o-mini-2024-07-18,fp_6cc92eaef9,generated_tests\clean_v4\java\MeterNeedle_CJ_001Test.java,ok,2441,523,755,0.000531,2026-07-23T19:31:03.891044
CJ-002,java,clean_v4,gpt-4o-mini-2024-07-18,fp_f48f1594a2,generated_tests\clean_v4\java\BlockRealMatrix_CJ_002Test.java,ok,2990,647,450,0.000367,2026-07-23T19:31:10.112823
CJ-003,java,clean_v4,gpt-4o-mini-2024-07-18,fp_912c2cd0e0,generated_tests\clean_v4\java\DateTimeComparator_CJ_003Test.java,ok,2010,414,621,0.000435,2026-07-23T19:31:17.662281
CJ-004,java,clean_v4,gpt-4o-mini-2024-07-18,fp_f48f1594a2,generated_tests\clean_v4\java\PatternOptionBuilder_CJ_004Test.java,ok,1611,356,508,0.000358,2026-07-23T19:31:25.184105
CJ-005,java,clean_v4,gpt-4o-mini-2024-07-18,fp_f48f1594a2,generated_tests\clean_v4\java\AbstractLinkedMap_CJ_005Test.java,ok,2291,465,323,0.000264,2026-07-23T19:31:29.592976
CJ-006,java,clean_v4,gpt-4o-mini-2024-07-18,fp_4e2e0e5f15,generated_tests\clean_v4\java\Adapter_CJ_006Test.java,ok,2932,634,895,0.000632,2026-07-23T19:31:39.542985
CJ-007,java,clean_v4,gpt-4o-mini-2024-07-18,fp_b245e7bf62,generated_tests\clean_v4\java\Attribute_CJ_007Test.java,ok,1848,387,402,0.000299,2026-07-23T19:31:43.566874
CJ-008,java,clean_v4,gpt-4o-mini-2024-07-18,fp_60952bc00e,generated_tests\clean_v4\java\ExtendedBufferedReader_CJ_008Test.java,ok,2103,423,504,0.000366,2026-07-23T19:31:49.811282
CJ-009,java,clean_v4,gpt-4o-mini-2024-07-18,fp_60952bc00e,generated_tests\clean_v4\java\CompositeTitle_CJ_009Test.java,ok,1985,401,453,0.000332,2026-07-23T19:31:56.230567
CJ-010,java,clean_v4,gpt-4o-mini-2024-07-18,fp_32ebcaec53,generated_tests\clean_v4\java\Dfp_CJ_010Test.java,ok,1916,433,334,0.000265,2026-07-23T19:31:59.815450
CJ-011,java,clean_v4,gpt-4o-mini-2024-07-18,fp_32ebcaec53,generated_tests\clean_v4\java\FormatUtils_CJ_011Test.java,ok,1862,412,335,0.000263,2026-07-23T19:32:03.034580
CJ-012,java,clean_v4,gpt-4o-mini-2024-07-18,fp_3c6e0cce75,generated_tests\clean_v4\java\PatternOptionBuilder_CJ_012Test.java,ok,3335,640,498,0.000395,2026-07-23T19:32:08.905755
CJ-013,java,clean_v4,gpt-4o-mini-2024-07-18,fp_db286bd4bf,generated_tests\clean_v4\java\ListIteratorWrapper_CJ_013Test.java,ok,2090,417,527,0.000379,2026-07-23T19:32:13.965681
CJ-014,java,clean_v4,gpt-4o-mini-2024-07-18,fp_6cc92eaef9,generated_tests\clean_v4\java\ProtoTypeAdapter_CJ_014Test.java,ok,3093,634,789,0.000568,2026-07-23T19:32:22.713364
CJ-015,java,clean_v4,gpt-4o-mini-2024-07-18,fp_13015c0152,generated_tests\clean_v4\java\Safelist_CJ_015Test.java,ok,3007,614,485,0.000383,2026-07-23T19:32:29.856828
CJ-016,java,clean_v4,gpt-4o-mini-2024-07-18,fp_30570f0196,generated_tests\clean_v4\java\CSVPrinter_CJ_016Test.java,ok,2749,535,582,0.000429,2026-07-23T19:32:36.900963
CJ-017,java,clean_v4,gpt-4o-mini-2024-07-18,fp_6cc92eaef9,generated_tests\clean_v4\java\WindDataItem_CJ_017Test.java,ok,1982,426,425,0.000319,2026-07-23T19:32:42.162066
CJ-018,java,clean_v4,gpt-4o-mini-2024-07-18,fp_4e2e0e5f15,generated_tests\clean_v4\java\OpenIntToFieldHashMap_CJ_018Test.java,ok,2342,514,460,0.000353,2026-07-23T19:32:47.555342
CJ-019,java,clean_v4,gpt-4o-mini-2024-07-18,fp_854585a3aa,generated_tests\clean_v4\java\LimitChronology_CJ_019Test.java,ok,2574,565,586,0.000436,2026-07-23T19:32:55.959339
CJ-020,java,clean_v4,gpt-4o-mini-2024-07-18,fp_78ae5ec8ce,generated_tests\clean_v4\java\TextHelpAppendable_CJ_020Test.java,ok,2518,554,456,0.000357,2026-07-23T19:33:00.833177
CJ-021,java,clean_v4,gpt-4o-mini-2024-07-18,fp_7ab7aec4da,generated_tests\clean_v4\java\ArrayCountingBloomFilter_CJ_021Test.java,ok,2614,566,440,0.000349,2026-07-23T19:33:05.015938
CJ-022,java,clean_v4,gpt-4o-mini-2024-07-18,fp_7ab7aec4da,generated_tests\clean_v4\java\Node_CJ_022Test.java,ok,2063,458,557,0.000403,2026-07-23T19:33:11.276653
CJ-023,java,clean_v4,gpt-4o-mini-2024-07-18,fp_caccde4117,generated_tests\clean_v4\java\Element_CJ_023Test.java,ok,2505,542,486,0.000373,2026-07-23T19:33:16.649198
CJ-024,java,clean_v4,gpt-4o-mini-2024-07-18,fp_3c6e0cce75,generated_tests\clean_v4\java\CSVPrinter_CJ_024Test.java,ok,2378,502,454,0.000348,2026-07-23T19:33:21.706089
CJ-025,java,clean_v4,gpt-4o-mini-2024-07-18,fp_d13ed9375e,generated_tests\clean_v4\java\MeanAndStandardDeviation_CJ_025Test.java,ok,2134,431,439,0.000328,2026-07-23T19:33:26.690071
CJ-026,java,clean_v4,gpt-4o-mini-2024-07-18,fp_fed8e02fdb,generated_tests\clean_v4\java\AccurateMath_CJ_026Test.java,ok,3119,829,382,0.000354,2026-07-23T19:33:30.925751
CJ-027,java,clean_v4,gpt-4o-mini-2024-07-18,fp_e9323266c1,generated_tests\clean_v4\java\Seconds_CJ_027Test.java,ok,1803,366,312,0.000242,2026-07-23T19:33:35.247026
CJ-028,java,clean_v4,gpt-4o-mini-2024-07-18,fp_1aec1bbdb8,generated_tests\clean_v4\java\Parser_CJ_028Test.java,ok,2284,462,540,0.000393,2026-07-23T19:33:41.086591
CJ-029,java,clean_v4,gpt-4o-mini-2024-07-18,fp_db286bd4bf,generated_tests\clean_v4\java\View_CJ_029Test.java,ok,2337,485,519,0.000384,2026-07-23T19:33:45.758545
CJ-030,java,clean_v4,gpt-4o-mini-2024-07-18,fp_629de9f9aa,generated_tests\clean_v4\java\Primitives_CJ_030Test.java,ok,1962,451,354,0.000280,2026-07-23T19:33:50.707751
CJ-031,java,clean_v4,gpt-4o-mini-2024-07-18,fp_9899ea5f96,generated_tests\clean_v4\java\StringUtil_CJ_031Test.java,ok,1665,359,324,0.000248,2026-07-23T19:33:55.194390
CJ-032,java,clean_v4,gpt-4o-mini-2024-07-18,fp_60952bc00e,generated_tests\clean_v4\java\ArrayUtils_CJ_032Test.java,ok,1849,402,609,0.000426,2026-07-23T19:34:01.190925
CJ-033,java,clean_v4,gpt-4o-mini-2024-07-18,fp_a8eb499e0d,generated_tests\clean_v4\java\BiDiagonalTransformer_CJ_033Test.java,ok,2170,476,423,0.000325,2026-07-23T19:34:05.584594
CJ-034,java,clean_v4,gpt-4o-mini-2024-07-18,fp_caccde4117,generated_tests\clean_v4\java\AbstractInterval_CJ_034Test.java,ok,1964,399,649,0.000449,2026-07-23T19:34:13.038094
CJ-035,java,clean_v4,gpt-4o-mini-2024-07-18,fp_77069cb563,generated_tests\clean_v4\java\OptionGroup_CJ_035Test.java,ok,2185,436,351,0.000276,2026-07-23T19:34:17.907281
CJ-036,java,clean_v4,gpt-4o-mini-2024-07-18,fp_469628dc88,generated_tests\clean_v4\java\CollectionUtils_CJ_036Test.java,ok,2476,517,593,0.000433,2026-07-23T19:34:23.749722
CJ-037,java,clean_v4,gpt-4o-mini-2024-07-18,fp_ab0b868503,generated_tests\clean_v4\java\Excluder_CJ_037Test.java,ok,2750,603,422,0.000344,2026-07-23T19:34:28.699125
CJ-038,java,clean_v4,gpt-4o-mini-2024-07-18,fp_d13ed9375e,generated_tests\clean_v4\java\W3CBuilder_CJ_038Test.java,ok,3744,779,498,0.000416,2026-07-23T19:34:33.621930
CJ-039,java,clean_v4,gpt-4o-mini-2024-07-18,fp_ee57c47580,generated_tests\clean_v4\java\AbstractRenderer_CJ_039Test.java,ok,2004,403,398,0.000299,2026-07-23T19:34:37.872281
CJ-040,java,clean_v4,gpt-4o-mini-2024-07-18,fp_db286bd4bf,generated_tests\clean_v4\java\SobolSequenceGenerator_CJ_040Test.java,ok,2829,586,503,0.000390,2026-07-23T19:34:43.087963
CJ-041,java,clean_v4,gpt-4o-mini-2024-07-18,fp_469628dc88,generated_tests\clean_v4\java\FixedDateTimeZone_CJ_041Test.java,ok,1971,417,494,0.000359,2026-07-23T19:34:48.244613
CJ-042,java,clean_v4,gpt-4o-mini-2024-07-18,fp_2247163164,generated_tests\clean_v4\java\Option_CJ_042Test.java,ok,2194,458,356,0.000282,2026-07-23T19:34:51.443137
CJ-043,java,clean_v4,gpt-4o-mini-2024-07-18,fp_9899ea5f96,generated_tests\clean_v4\java\View_CJ_043Test.java,ok,2332,491,550,0.000404,2026-07-23T19:34:56.970027
CJ-044,java,clean_v4,gpt-4o-mini-2024-07-18,fp_40378b3f14,generated_tests\clean_v4\java\BagOfPrimitivesDeserializationBenchmark_CJ_044Test.java,ok,2748,590,458,0.000363,2026-07-23T19:35:02.498656
CJ-045,java,clean_v4,gpt-4o-mini-2024-07-18,fp_85b8ec5856,generated_tests\clean_v4\java\FormattingVisitor_CJ_045Test.java,ok,2089,464,342,0.000275,2026-07-23T19:35:06.045584
CJ-046,java,clean_v4,gpt-4o-mini-2024-07-18,fp_9899ea5f96,generated_tests\clean_v4\java\Minute_CJ_046Test.java,ok,1869,393,327,0.000255,2026-07-23T19:35:09.686529
CJ-047,java,clean_v4,gpt-4o-mini-2024-07-18,fp_b29d6a4e3f,generated_tests\clean_v4\java\DfpMath_CJ_047Test.java,ok,3246,921,479,0.000426,2026-07-23T19:35:14.533015
CJ-048,java,clean_v4,gpt-4o-mini-2024-07-18,fp_d13ed9375e,generated_tests\clean_v4\java\LocalTime_CJ_048Test.java,ok,2232,466,417,0.000320,2026-07-23T19:35:19.060227
CJ-049,java,clean_v4,gpt-4o-mini-2024-07-18,fp_78ae5ec8ce,generated_tests\clean_v4\java\TextHelpAppendable_CJ_049Test.java,ok,2367,490,501,0.000374,2026-07-23T19:35:24.425903
CJ-050,java,clean_v4,gpt-4o-mini-2024-07-18,fp_73ac716e3e,generated_tests\clean_v4\java\AbstractHashedMap_CJ_050Test.java,ok,2486,500,472,0.000358,2026-07-23T19:35:30.288458
CJ-051,java,clean_v4,gpt-4o-mini-2024-07-18,fp_ee57c47580,generated_tests\clean_v4\java\GsonBuilder_CJ_051Test.java,ok,2563,512,568,0.000418,2026-07-23T19:35:36.234070
CJ-052,java,clean_v4,gpt-4o-mini-2024-07-18,fp_d13ed9375e,generated_tests\clean_v4\java\Element_CJ_052Test.java,ok,2242,470,436,0.000332,2026-07-23T19:35:41.565465
CJ-053,java,clean_v4,gpt-4o-mini-2024-07-18,fp_a23f63aa66,generated_tests\clean_v4\java\MeterInterval_CJ_053Test.java,ok,2364,482,738,0.000515,2026-07-23T19:35:49.196850
CJ-054,java,clean_v4,gpt-4o-mini-2024-07-18,fp_07be26b212,generated_tests\clean_v4\java\MathArrays_CJ_054Test.java,ok,2736,548,534,0.000403,2026-07-23T19:36:17.619070
CJ-055,java,clean_v4,gpt-4o-mini-2024-07-18,fp_30570f0196,generated_tests\clean_v4\java\BaseDateTimeField_CJ_055Test.java,ok,1912,417,422,0.000316,2026-07-23T19:36:22.598346
CJ-056,java,clean_v4,gpt-4o-mini-2024-07-18,fp_fed8e02fdb,generated_tests\clean_v4\java\HelpFormatter_CJ_056Test.java,ok,3677,727,747,0.000557,2026-07-23T19:36:30.299254
CJ-057,java,clean_v4,gpt-4o-mini-2024-07-18,fp_844ddd95ff,generated_tests\clean_v4\java\CollectionUtils_CJ_057Test.java,ok,1886,382,575,0.000402,2026-07-23T19:36:36.957382
CJ-058,java,clean_v4,gpt-4o-mini-2024-07-18,fp_4e2e0e5f15,generated_tests\clean_v4\java\JsonTreeReader_CJ_058Test.java,ok,1986,442,530,0.000384,2026-07-23T19:36:42.073850
CJ-059,java,clean_v4,gpt-4o-mini-2024-07-18,fp_469628dc88,generated_tests\clean_v4\java\ListLinks_CJ_059Test.java,ok,2526,577,426,0.000342,2026-07-23T19:36:46.713454
CJ-060,java,clean_v4,gpt-4o-mini-2024-07-18,fp_6cc92eaef9,generated_tests\clean_v4\java\CategoryMarker_CJ_060Test.java,ok,2219,451,411,0.000314,2026-07-23T19:36:51.594580
