function_id,language,test_source,model,test_path,gen_status,in_tokens,out_tokens,cost_usd,timestamp
CJ-032,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-032_Test.java,ok,440,535,0.000387,2026-07-23T21:10:20.625081
CJ-033,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-033_Test.java,ok,510,646,0.000464,2026-07-23T21:10:27.182252
CJ-034,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-034_Test.java,ok,425,573,0.000408,2026-07-23T21:10:32.841859
CJ-035,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-035_Test.java,ok,462,410,0.000315,2026-07-23T21:10:37.841420
CJ-036,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-036_Test.java,ok,558,617,0.000454,2026-07-23T21:10:46.957681
CJ-037,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-037_Test.java,ok,642,302,0.000278,2026-07-23T21:10:50.785724
CJ-038,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-038_Test.java,ok,800,330,0.000318,2026-07-23T21:10:54.106197
CJ-039,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-039_Test.java,ok,429,440,0.000328,2026-07-23T21:10:59.221442
CJ-040,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-040_Test.java,ok,607,431,0.000350,2026-07-23T21:11:04.305997
CJ-041,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-041_Test.java,ok,431,412,0.000312,2026-07-23T21:11:09.071161
CJ-042,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-042_Test.java,ok,454,358,0.000283,2026-07-23T21:11:12.890240
CJ-043,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-043_Test.java,ok,513,515,0.000386,2026-07-23T21:11:18.221669
CJ-044,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-044_Test.java,ok,634,318,0.000286,2026-07-23T21:11:21.980728
CJ-045,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-045_Test.java,ok,501,510,0.000381,2026-07-23T21:11:28.409060
CJ-046,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-046_Test.java,ok,404,263,0.000218,2026-07-23T21:11:31.914743
CJ-047,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-047_Test.java,ok,978,378,0.000374,2026-07-23T21:11:36.391686
CJ-048,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-048_Test.java,ok,432,361,0.000281,2026-07-23T21:11:40.421544
CJ-049,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-049_Test.java,ok,515,299,0.000257,2026-07-23T21:11:43.898865
CJ-050,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-050_Test.java,ok,506,284,0.000246,2026-07-23T21:11:47.116457
CJ-051,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-051_Test.java,ok,526,512,0.000386,2026-07-23T21:11:52.240969
CJ-052,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-052_Test.java,ok,465,324,0.000264,2026-07-23T21:11:55.679666
CJ-053,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-053_Test.java,ok,481,567,0.000412,2026-07-23T21:12:01.751071
CJ-054,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-054_Test.java,ok,598,522,0.000403,2026-07-23T21:12:08.044557
CJ-055,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-055_Test.java,ok,438,427,0.000322,2026-07-23T21:12:12.784149
CJ-056,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-056_Test.java,ok,753,725,0.000548,2026-07-23T21:12:20.265870
CJ-057,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-057_Test.java,ok,423,421,0.000316,2026-07-23T21:12:24.448898
CJ-058,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-058_Test.java,ok,468,483,0.000360,2026-07-23T21:12:29.921726
CJ-059,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-059_Test.java,ok,612,294,0.000268,2026-07-23T21:12:33.505114
CJ-060,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-060_Test.java,ok,430,409,0.000310,2026-07-23T21:12:38.669076
CP-001,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-001.py,ok,368,416,0.000305,2026-07-23T21:12:42.781942
CP-002,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-002.py,ok,592,300,0.000269,2026-07-23T21:12:46.397135
CP-003,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-003.py,ok,494,756,0.000528,2026-07-23T21:12:55.286598
CP-004,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-004.py,ok,769,326,0.000311,2026-07-23T21:12:58.935580
CP-005,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-005.py,ok,518,295,0.000255,2026-07-23T21:13:02.031540
CP-006,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-006.py,ok,980,262,0.000304,2026-07-23T21:13:04.800994
CP-007,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-007.py,ok,655,359,0.000314,2026-07-23T21:13:08.507714
CP-008,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-008.py,ok,574,242,0.000231,2026-07-23T21:13:11.236095
CP-009,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-009.py,ok,384,304,0.000240,2026-07-23T21:13:14.834970
CP-010,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-010.py,ok,693,435,0.000365,2026-07-23T21:13:19.646908
CP-011,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-011.py,ok,666,597,0.000458,2026-07-23T21:13:25.965219
CP-012,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-012.py,ok,837,393,0.000361,2026-07-23T21:13:29.885247
CP-013,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-013.py,ok,494,342,0.000279,2026-07-23T21:13:33.463371
CP-014,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-014.py,ok,413,245,0.000209,2026-07-23T21:13:36.045850
CP-015,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-015.py,ok,469,402,0.000312,2026-07-23T21:13:39.900191
CP-016,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-016.py,ok,748,310,0.000298,2026-07-23T21:13:43.087098
CP-017,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-017.py,ok,557,511,0.000390,2026-07-23T21:13:48.317076
CP-018,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-018.py,ok,775,352,0.000327,2026-07-23T21:13:51.679475
CP-019,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-019.py,ok,586,316,0.000278,2026-07-23T21:13:55.169837
CP-020,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-020.py,ok,343,333,0.000251,2026-07-23T21:13:58.797099
CP-021,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-021.py,ok,684,302,0.000284,2026-07-23T21:14:01.994572
CP-022,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-022.py,ok,730,357,0.000324,2026-07-23T21:14:05.609977
CP-023,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-023.py,ok,1281,554,0.000525,2026-07-23T21:14:10.499489
CP-024,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-024.py,ok,829,503,0.000426,2026-07-23T21:14:15.487748
CP-025,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-025.py,ok,664,378,0.000326,2026-07-23T21:14:19.224876
CP-026,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-026.py,ok,697,246,0.000252,2026-07-23T21:14:21.979581
CP-027,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-027.py,ok,360,292,0.000229,2026-07-23T21:14:25.397311
CP-028,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-028.py,ok,891,300,0.000314,2026-07-23T21:14:28.409359
CP-029,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-029.py,ok,556,622,0.000457,2026-07-23T21:14:34.739477
CP-030,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-030.py,ok,714,433,0.000367,2026-07-23T21:14:39.314736
CP-031,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-031.py,ok,501,332,0.000274,2026-07-23T21:14:44.502770
CP-032,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-032.py,ok,625,624,0.000468,2026-07-23T21:14:50.574276
CP-033,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-033.py,ok,395,255,0.000212,2026-07-23T21:14:53.857259
CP-034,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-034.py,ok,770,365,0.000334,2026-07-23T21:14:57.935383
CP-035,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-035.py,ok,436,530,0.000383,2026-07-23T21:15:03.009315
CP-036,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-036.py,ok,974,386,0.000378,2026-07-23T21:15:07.640787
CP-037,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-037.py,ok,422,277,0.000229,2026-07-23T21:15:10.807873
CP-038,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-038.py,ok,725,258,0.000264,2026-07-23T21:15:13.537843
CP-039,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-039.py,ok,492,410,0.000320,2026-07-23T21:15:17.429077
CP-040,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-040.py,ok,748,353,0.000324,2026-07-23T21:15:21.187544
CP-041,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-041.py,ok,786,431,0.000376,2026-07-23T21:15:25.548552
CP-042,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-042.py,ok,874,542,0.000456,2026-07-23T21:15:30.714364
CP-043,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-043.py,ok,483,358,0.000287,2026-07-23T21:15:34.617760
CP-044,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-044.py,ok,751,602,0.000474,2026-07-23T21:15:40.019123
CP-045,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-045.py,ok,637,404,0.000338,2026-07-23T21:15:44.328013
CP-046,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-046.py,ok,515,298,0.000256,2026-07-23T21:15:47.610151
CP-047,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-047.py,ok,320,236,0.000190,2026-07-23T21:15:50.346106
CP-048,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-048.py,ok,754,323,0.000307,2026-07-23T21:15:53.814276
CP-049,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-049.py,ok,573,408,0.000331,2026-07-23T21:15:57.947164
CP-050,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-050.py,ok,650,321,0.000290,2026-07-23T21:16:01.993933
CP-051,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-051.py,ok,406,310,0.000247,2026-07-23T21:16:05.793956
CP-052,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-052.py,ok,857,412,0.000376,2026-07-23T21:16:10.133991
CP-053,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-053.py,ok,569,466,0.000365,2026-07-23T21:16:15.146648
CP-054,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-054.py,ok,571,176,0.000191,2026-07-23T21:16:17.597003
CP-055,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-055.py,ok,665,467,0.000380,2026-07-23T21:16:22.393924
CP-056,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-056.py,ok,645,445,0.000364,2026-07-23T21:16:26.813919
CP-057,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-057.py,ok,404,299,0.000240,2026-07-23T21:16:30.424019
CP-058,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-058.py,ok,642,589,0.000450,2026-07-23T21:16:36.538789
CP-059,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-059.py,ok,484,609,0.000438,2026-07-23T21:16:42.003936
CP-060,python,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\python\test_CP-060.py,ok,404,411,0.000307,2026-07-23T21:16:45.998501
